week_date,region,platform,segment,customer_type,transactions,sales
31/8/20,AFRICA,Shopify,C3,New,340,56734.0
31/8/20,ASIA,Retail,C1,Existing,187781,6218547.0
31/8/20,OCEANIA,Shopify,F2,Existing,6870,1373529.0
31/8/20,OCEANIA,Retail,C1,New,172521,3964262.0
31/8/20,CANADA,Shopify,C2,New,105,14694.0
31/8/20,CANADA,Retail,F3,New,19524,690966.0
31/8/20,ASIA,Retail,C4,New,53286,1520060.0
31/8/20,SOUTH AMERICA,Retail,C1,New,2466,52421.0
31/8/20,EUROPE,Retail,null,Guest,97001,3352338.0
31/8/20,CANADA,Shopify,F3,New,36,6107.0
31/8/20,USA,Shopify,F2,Existing,2031,402380.0
31/8/20,AFRICA,Retail,F2,Existing,277600,14910405.0
31/8/20,USA,Shopify,F2,New,157,25858.0
31/8/20,EUROPE,Shopify,null,New,20,4085.0
31/8/20,OCEANIA,Shopify,C1,Existing,2801,481198.0
31/8/20,CANADA,Retail,null,Guest,396145,11133538.0
31/8/20,USA,Retail,F2,New,28592,1063716.0
31/8/20,CANADA,Retail,C2,Existing,23062,1001335.0
31/8/20,OCEANIA,Retail,null,Guest,2437738,63989387.0
31/8/20,EUROPE,Shopify,null,Guest,343,79359.0
31/8/20,OCEANIA,Shopify,F3,Existing,3920,836865.0
31/8/20,ASIA,Shopify,null,Existing,384,67279.0
31/8/20,SOUTH AMERICA,Retail,F3,New,329,11863.0
31/8/20,EUROPE,Retail,F2,New,1738,72565.0
31/8/20,OCEANIA,Retail,F3,New,110894,3749562.0
31/8/20,USA,Shopify,null,Existing,196,40740.0
31/8/20,USA,Retail,C3,Existing,102736,5786447.0
31/8/20,EUROPE,Retail,C4,Existing,4652,250536.0
31/8/20,OCEANIA,Retail,null,Existing,50786,2056315.0
31/8/20,SOUTH AMERICA,Shopify,F3,New,3,372.0
31/8/20,OCEANIA,Shopify,C4,Existing,731,136743.0
31/8/20,CANADA,Shopify,C3,New,115,16103.0
31/8/20,SOUTH AMERICA,Shopify,null,Guest,2172,407861.0
31/8/20,USA,Shopify,F3,New,63,10501.0
31/8/20,CANADA,Retail,C4,New,13579,451994.0
31/8/20,USA,Shopify,C4,Existing,164,29757.0
31/8/20,CANADA,Shopify,C2,Existing,726,125653.0
31/8/20,ASIA,Shopify,C3,New,247,35572.0
31/8/20,ASIA,Shopify,C1,New,277,35314.0
31/8/20,OCEANIA,Shopify,null,New,507,83877.0
31/8/20,ASIA,Retail,C1,New,132545,2819145.0
31/8/20,ASIA,Retail,F3,New,89785,2770220.0
31/8/20,USA,Shopify,F3,Existing,1083,224778.0
31/8/20,ASIA,Shopify,C1,Existing,1282,210754.0
31/8/20,AFRICA,Shopify,null,New,300,51883.0
31/8/20,OCEANIA,Shopify,C4,New,100,15077.0
31/8/20,SOUTH AMERICA,Retail,C4,Existing,414,18437.0
31/8/20,SOUTH AMERICA,Shopify,null,Existing,3,472.0
31/8/20,CANADA,Retail,null,Existing,8410,411147.0
31/8/20,EUROPE,Shopify,F2,Existing,249,55333.0
31/8/20,SOUTH AMERICA,Retail,C1,Existing,3087,85926.0
31/8/20,AFRICA,Shopify,F3,New,122,20927.0
31/8/20,AFRICA,Retail,null,Existing,37883,1657269.0
31/8/20,ASIA,Shopify,C4,New,46,6147.0
31/8/20,ASIA,Retail,C4,Existing,110176,4894437.0
31/8/20,AFRICA,Retail,null,Guest,1547309,44346247.0
31/8/20,OCEANIA,Shopify,F1,Existing,4498,839437.0
31/8/20,CANADA,Shopify,F1,Existing,789,134990.0
31/8/20,SOUTH AMERICA,Shopify,C3,Existing,109,23057.0
31/8/20,EUROPE,Retail,C4,New,1352,49263.0
31/8/20,ASIA,Retail,null,Existing,38663,1493771.0
31/8/20,AFRICA,Shopify,C2,New,389,57455.0
31/8/20,CANADA,Retail,null,New,14685,561282.0
31/8/20,USA,Retail,null,New,22186,930478.0
31/8/20,OCEANIA,Shopify,C2,New,842,132424.0
31/8/20,USA,Shopify,F1,New,135,20860.0
31/8/20,AFRICA,Retail,C1,Existing,186404,6891042.0
31/8/20,AFRICA,Shopify,C1,Existing,1689,269373.0
31/8/20,SOUTH AMERICA,Retail,null,Guest,413244,16755039.0
31/8/20,ASIA,Shopify,F1,New,228,33200.0
31/8/20,OCEANIA,Retail,C1,Existing,260181,9284850.0
31/8/20,EUROPE,Retail,F2,Existing,14482,887564.0
31/8/20,EUROPE,Shopify,C1,Existing,118,27732.0
31/8/20,AFRICA,Retail,C1,New,97673,2423159.0
31/8/20,ASIA,Shopify,F3,New,113,15927.0
31/8/20,SOUTH AMERICA,Retail,null,New,1266,44500.0
31/8/20,SOUTH AMERICA,Shopify,F1,New,6,623.0
31/8/20,USA,Retail,C3,New,46838,1769576.0
31/8/20,USA,Retail,C4,New,18774,665292.0
31/8/20,USA,Retail,C4,Existing,40024,2186307.0
31/8/20,USA,Shopify,C2,Existing,1420,277104.0
31/8/20,ASIA,Retail,C2,New,87269,2234801.0
31/8/20,USA,Shopify,null,New,154,25762.0
31/8/20,USA,Shopify,C3,Existing,1501,312519.0
31/8/20,EUROPE,Shopify,C4,Existing,22,4971.0
31/8/20,CANADA,Retail,C3,Existing,62206,3227065.0
31/8/20,CANADA,Shopify,null,Guest,1621,269863.0
31/8/20,AFRICA,Retail,F2,New,65304,2291992.0
31/8/20,EUROPE,Retail,null,Existing,3211,150741.0
31/8/20,ASIA,Shopify,null,New,278,46931.0
31/8/20,EUROPE,Shopify,F1,Existing,138,30015.0
31/8/20,USA,Retail,F2,Existing,96079,5527494.0
31/8/20,USA,Shopify,C1,Existing,739,128749.0
31/8/20,SOUTH AMERICA,Retail,F2,Existing,1098,48912.0
31/8/20,OCEANIA,Retail,null,New,83764,2829225.0
31/8/20,EUROPE,Retail,C3,Existing,14816,815588.0
31/8/20,AFRICA,Shopify,C2,Existing,2568,471837.0
31/8/20,ASIA,Shopify,F3,Existing,1916,372983.0
31/8/20,OCEANIA,Shopify,F1,New,333,48796.0
31/8/20,SOUTH AMERICA,Retail,C2,New,906,25570.0
31/8/20,USA,Retail,null,Existing,14146,694767.0
31/8/20,OCEANIA,Shopify,null,Existing,621,121005.0
31/8/20,AFRICA,Shopify,F2,Existing,4911,944157.0
31/8/20,CANADA,Retail,C1,Existing,56256,2299419.0
31/8/20,OCEANIA,Retail,F2,Existing,345420,18073554.0
31/8/20,USA,Shopify,null,Guest,2647,479002.0
31/8/20,CANADA,Retail,C2,New,14915,458589.0
31/8/20,AFRICA,Shopify,C4,Existing,438,80612.0
31/8/20,AFRICA,Retail,F3,New,69632,2472247.0
31/8/20,OCEANIA,Shopify,C1,New,522,69079.0
31/8/20,SOUTH AMERICA,Retail,F1,New,312,11256.0
31/8/20,EUROPE,Shopify,C2,New,17,2340.0
31/8/20,CANADA,Shopify,F1,New,61,8381.0
31/8/20,OCEANIA,Retail,C3,New,153925,4929679.0
31/8/20,ASIA,Retail,C2,Existing,129513,4917788.0
31/8/20,EUROPE,Shopify,C3,New,12,1924.0
31/8/20,AFRICA,Shopify,null,Existing,376,70596.0
31/8/20,CANADA,Retail,C3,New,29338,1026555.0
31/8/20,CANADA,Shopify,F2,New,98,14789.0
31/8/20,SOUTH AMERICA,Shopify,C2,Existing,134,26393.0
24/8/20,AFRICA,Retail,null,Guest,1548059,44081216.0
24/8/20,USA,Shopify,F2,Existing,1898,397206.0
24/8/20,AFRICA,Shopify,F1,Existing,2592,489706.0
24/8/20,CANADA,Shopify,F2,Existing,1350,258395.0
24/8/20,USA,Retail,F2,New,28566,1082176.0
24/8/20,OCEANIA,Shopify,null,New,430,71730.0
24/8/20,CANADA,Retail,C1,New,30970,809732.0
24/8/20,USA,Shopify,C1,Existing,773,138404.0
24/8/20,EUROPE,Retail,null,Existing,2986,136429.0
24/8/20,CANADA,Retail,C4,Existing,29326,1464490.0
24/8/20,EUROPE,Retail,null,Guest,98743,3383683.0
24/8/20,CANADA,Retail,C4,New,13219,437390.0
24/8/20,USA,Shopify,C4,Existing,167,32507.0
24/8/20,SOUTH AMERICA,Shopify,C4,Existing,5,988.0
24/8/20,SOUTH AMERICA,Shopify,C2,New,46,7823.0
24/8/20,OCEANIA,Retail,C4,New,65546,2023506.0
24/8/20,EUROPE,Retail,F1,New,932,40229.0
24/8/20,SOUTH AMERICA,Shopify,F2,Existing,30,6585.0
24/8/20,EUROPE,Shopify,F1,Existing,132,26362.0
24/8/20,ASIA,Shopify,null,New,318,50284.0
24/8/20,AFRICA,Retail,C3,Existing,287091,14534326.0
24/8/20,SOUTH AMERICA,Retail,F2,Existing,1127,50201.0
24/8/20,AFRICA,Retail,F3,New,69461,2470906.0
24/8/20,CANADA,Retail,F2,New,18109,637913.0
24/8/20,CANADA,Shopify,null,Existing,76,13605.0
24/8/20,ASIA,Retail,C2,Existing,129144,4996901.0
24/8/20,ASIA,Shopify,C4,New,40,6803.0
24/8/20,EUROPE,Shopify,C3,New,14,3295.0
24/8/20,OCEANIA,Shopify,F2,Existing,6502,1307272.0
24/8/20,ASIA,Shopify,C1,New,269,35424.0
24/8/20,OCEANIA,Shopify,C1,Existing,2673,471401.0
24/8/20,USA,Shopify,C1,New,151,21917.0
24/8/20,SOUTH AMERICA,Shopify,C1,New,16,2666.0
24/8/20,SOUTH AMERICA,Retail,F2,New,446,17385.0
24/8/20,USA,Retail,null,New,21594,919265.0
24/8/20,AFRICA,Shopify,F2,Existing,4689,928412.0
24/8/20,CANADA,Shopify,C4,Existing,89,16312.0
24/8/20,EUROPE,Retail,F3,Existing,18657,1116468.0
24/8/20,SOUTH AMERICA,Retail,C2,New,949,29642.0
24/8/20,OCEANIA,Shopify,C2,New,762,126151.0
24/8/20,OCEANIA,Retail,C2,Existing,169736,6645099.0
24/8/20,USA,Retail,F1,Existing,40597,2371526.0
24/8/20,OCEANIA,Shopify,C4,New,96,13461.0
24/8/20,AFRICA,Shopify,C1,New,293,39564.0
24/8/20,CANADA,Shopify,C2,Existing,695,120729.0
24/8/20,AFRICA,Shopify,C1,Existing,1658,270496.0
24/8/20,ASIA,Shopify,C3,New,301,45870.0
24/8/20,CANADA,Shopify,null,New,84,13692.0
24/8/20,AFRICA,Shopify,C4,New,62,10269.0
24/8/20,SOUTH AMERICA,Shopify,null,Existing,5,760.0
24/8/20,CANADA,Shopify,F3,New,27,3387.0
24/8/20,ASIA,Shopify,F2,Existing,2947,567165.0
24/8/20,ASIA,Retail,C3,Existing,244816,11196782.0
24/8/20,USA,Shopify,null,Existing,154,34932.0
24/8/20,OCEANIA,Shopify,C4,Existing,687,125849.0
24/8/20,USA,Retail,C4,Existing,40986,2227688.0
24/8/20,ASIA,Retail,C1,New,134550,3010765.0
24/8/20,SOUTH AMERICA,Retail,F1,Existing,773,31067.0
24/8/20,EUROPE,Shopify,C2,Existing,151,47032.0
24/8/20,SOUTH AMERICA,Retail,null,Existing,314,9372.0
24/8/20,OCEANIA,Retail,C4,Existing,152920,7470104.0
24/8/20,USA,Shopify,C3,Existing,1420,310461.0
24/8/20,EUROPE,Shopify,C4,Existing,20,6265.0
24/8/20,AFRICA,Retail,C2,Existing,113188,4841694.0
24/8/20,ASIA,Retail,C4,New,53411,1547953.0
24/8/20,SOUTH AMERICA,Retail,C1,New,2393,52387.0
24/8/20,USA,Shopify,C2,New,238,36620.0
24/8/20,CANADA,Shopify,C1,Existing,555,89309.0
24/8/20,EUROPE,Retail,C3,Existing,15076,813088.0
24/8/20,SOUTH AMERICA,Shopify,null,New,38,7671.0
24/8/20,SOUTH AMERICA,Retail,C1,Existing,3053,82693.0
24/8/20,AFRICA,Shopify,C2,New,386,58239.0
24/8/20,OCEANIA,Retail,F2,Existing,348114,18083790.0
24/8/20,CANADA,Retail,F1,New,6852,266751.0
24/8/20,EUROPE,Retail,F1,Existing,6739,378826.0
24/8/20,ASIA,Retail,null,New,64558,2208090.0
24/8/20,EUROPE,Retail,F2,New,1652,74178.0
24/8/20,SOUTH AMERICA,Retail,F1,New,292,11098.0
24/8/20,CANADA,Shopify,C3,Existing,799,152027.0
24/8/20,EUROPE,Retail,C1,Existing,14862,625492.0
24/8/20,AFRICA,Shopify,null,Existing,338,66080.0
24/8/20,OCEANIA,Retail,C1,Existing,261672,9346295.0
24/8/20,SOUTH AMERICA,Shopify,C3,New,17,2140.0
24/8/20,CANADA,Shopify,F1,New,55,8698.0
24/8/20,CANADA,Retail,F3,New,19493,680924.0
24/8/20,USA,Retail,C4,New,18943,679544.0
24/8/20,SOUTH AMERICA,Retail,C4,New,279,10733.0
24/8/20,SOUTH AMERICA,Retail,null,New,1202,42883.0
24/8/20,SOUTH AMERICA,Shopify,F1,New,7,1292.0
24/8/20,SOUTH AMERICA,Shopify,F3,Existing,36,8036.0
24/8/20,USA,Shopify,C4,New,28,4463.0
24/8/20,EUROPE,Retail,F2,Existing,14483,840537.0
24/8/20,USA,Retail,F3,New,29273,1096534.0
24/8/20,EUROPE,Shopify,C1,Existing,96,20686.0
24/8/20,OCEANIA,Shopify,null,Guest,10804,1931973.0
24/8/20,USA,Retail,F2,Existing,96492,5452817.0
24/8/20,USA,Shopify,null,New,128,20669.0
24/8/20,USA,Retail,C1,Existing,58184,2456263.0
24/8/20,EUROPE,Retail,C2,New,2918,106346.0
24/8/20,SOUTH AMERICA,Shopify,F2,New,5,641.0
24/8/20,AFRICA,Retail,F2,New,65760,2337007.0
24/8/20,ASIA,Retail,F1,Existing,94451,4573475.0
24/8/20,AFRICA,Retail,F2,Existing,279576,14854110.0
24/8/20,CANADA,Retail,C2,Existing,23267,1015278.0
24/8/20,AFRICA,Retail,C1,Existing,188391,6906988.0
24/8/20,ASIA,Shopify,F2,New,239,34728.0
24/8/20,ASIA,Retail,C3,New,121636,3741035.0
24/8/20,ASIA,Retail,F3,New,90129,2819086.0
24/8/20,CANADA,Retail,F2,Existing,61805,3241876.0
24/8/20,EUROPE,Retail,F3,New,1735,71648.0
24/8/20,ASIA,Shopify,C4,Existing,287,52221.0
24/8/20,SOUTH AMERICA,Shopify,F3,New,4,809.0
24/8/20,EUROPE,Shopify,null,New,14,3630.0
24/8/20,CANADA,Retail,C1,Existing,56667,2280564.0
24/8/20,OCEANIA,Shopify,null,Existing,563,115870.0
24/8/20,AFRICA,Shopify,null,Guest,5776,1033296.0
24/8/20,AFRICA,Shopify,C2,Existing,2603,500046.0
24/8/20,EUROPE,Shopify,F3,Existing,113,29492.0
24/8/20,CANADA,Shopify,C2,New,93,14157.0
24/8/20,SOUTH AMERICA,Retail,F3,Existing,1330,64047.0
24/8/20,USA,Shopify,C3,New,160,26524.0
24/8/20,OCEANIA,Retail,null,Guest,2433987,64142815.0
24/8/20,ASIA,Shopify,C1,Existing,1254,214075.0
24/8/20,AFRICA,Shopify,null,New,311,54039.0
24/8/20,OCEANIA,Retail,F1,Existing,146120,7374481.0
24/8/20,AFRICA,Retail,C4,New,47161,1561210.0
24/8/20,EUROPE,Retail,C2,Existing,9838,469133.0
24/8/20,SOUTH AMERICA,Shopify,C1,Existing,67,11980.0
24/8/20,OCEANIA,Retail,C3,Existing,343102,16616246.0
24/8/20,EUROPE,Shopify,C3,Existing,159,43242.0
24/8/20,ASIA,Retail,F2,Existing,220882,10645503.0
24/8/20,AFRICA,Retail,F3,Existing,407927,22769738.0
24/8/20,ASIA,Retail,F3,Existing,403795,20476242.0
24/8/20,OCEANIA,Retail,F1,New,42198,1524244.0
24/8/20,EUROPE,Shopify,F1,New,6,1407.0
24/8/20,CANADA,Retail,C2,New,15253,528808.0
24/8/20,AFRICA,Shopify,C3,New,315,53692.0
24/8/20,OCEANIA,Shopify,F3,New,192,33223.0
24/8/20,AFRICA,Shopify,C4,Existing,404,78136.0
24/8/20,SOUTH AMERICA,Retail,null,Guest,405864,16290625.0
24/8/20,USA,Retail,C2,New,27156,996924.0
24/8/20,SOUTH AMERICA,Shopify,F1,Existing,64,13714.0
24/8/20,OCEANIA,Retail,C1,New,176101,4182786.0
24/8/20,EUROPE,Shopify,C1,New,14,2836.0
24/8/20,ASIA,Shopify,C2,Existing,2297,413897.0
24/8/20,USA,Shopify,F3,New,52,9137.0
24/8/20,EUROPE,Retail,C3,New,3841,159543.0
24/8/20,CANADA,Retail,F1,Existing,24088,1298505.0
24/8/20,CANADA,Retail,null,Guest,394587,10941951.0
24/8/20,USA,Shopify,F3,Existing,974,207813.0
24/8/20,AFRICA,Retail,F1,Existing,98813,5239692.0
24/8/20,OCEANIA,Retail,C2,New,112315,3330717.0
24/8/20,USA,Retail,F1,New,12337,537132.0
24/8/20,EUROPE,Shopify,C2,New,12,3280.0
24/8/20,USA,Retail,C3,Existing,103120,5765461.0
24/8/20,EUROPE,Retail,C4,Existing,4953,266237.0
24/8/20,CANADA,Shopify,F3,Existing,650,131072.0
24/8/20,CANADA,Shopify,C1,New,80,10467.0
24/8/20,SOUTH AMERICA,Shopify,C2,Existing,124,25194.0
24/8/20,USA,Retail,C3,New,47022,1797843.0
24/8/20,SOUTH AMERICA,Retail,C3,New,952,38345.0
24/8/20,ASIA,Retail,C1,Existing,188753,6315069.0
24/8/20,EUROPE,Retail,null,New,2962,129020.0
24/8/20,AFRICA,Retail,C2,New,58705,1860988.0
24/8/20,AFRICA,Shopify,F3,Existing,2331,486331.0
24/8/20,ASIA,Shopify,F1,New,208,28542.0
24/8/20,SOUTH AMERICA,Shopify,C3,Existing,91,18712.0
24/8/20,OCEANIA,Retail,C3,New,155586,5133194.0
24/8/20,ASIA,Retail,C2,New,87964,2462103.0
24/8/20,EUROPE,Retail,C4,New,1374,50412.0
24/8/20,USA,Retail,C1,New,37271,1064389.0
24/8/20,USA,Retail,null,Existing,13157,697708.0
24/8/20,AFRICA,Retail,C3,New,111964,3967870.0
24/8/20,ASIA,Retail,F1,New,31513,1032953.0
24/8/20,OCEANIA,Shopify,C2,Existing,4527,863537.0
24/8/20,USA,Shopify,F1,Existing,1334,258305.0
24/8/20,EUROPE,Retail,C1,New,4520,135256.0
24/8/20,CANADA,Shopify,C3,New,106,16974.0
24/8/20,OCEANIA,Retail,null,Existing,45824,1869997.0
24/8/20,ASIA,Shopify,null,Guest,5867,976399.0
24/8/20,EUROPE,Shopify,F2,Existing,216,47335.0
24/8/20,CANADA,Retail,null,Existing,7536,360482.0
24/8/20,CANADA,Shopify,F1,Existing,769,133782.0
24/8/20,OCEANIA,Shopify,C3,New,536,86927.0
24/8/20,ASIA,Shopify,F3,New,115,17670.0
24/8/20,SOUTH AMERICA,Retail,C2,Existing,987,38556.0
24/8/20,SOUTH AMERICA,Shopify,C4,New,4,486.0
24/8/20,ASIA,Retail,null,Guest,1912461,48873892.0
24/8/20,OCEANIA,Retail,F2,New,92755,3192813.0
24/8/20,OCEANIA,Shopify,F2,New,413,64341.0
24/8/20,USA,Shopify,F1,New,130,20685.0
24/8/20,USA,Retail,null,Guest,527116,16395314.0
24/8/20,ASIA,Shopify,F3,Existing,1879,387214.0
24/8/20,OCEANIA,Shopify,F1,New,365,55996.0
24/8/20,OCEANIA,Shopify,F1,Existing,4361,836190.0
24/8/20,EUROPE,Shopify,null,Guest,370,89676.0
24/8/20,CANADA,Retail,C3,Existing,62514,3154333.0
24/8/20,CANADA,Shopify,null,Guest,1697,288470.0
24/8/20,OCEANIA,Shopify,F3,Existing,3720,777026.0
24/8/20,AFRICA,Retail,C1,New,99449,2478289.0
24/8/20,ASIA,Shopify,null,Existing,375,70227.0
24/8/20,CANADA,Retail,F3,Existing,94749,5212768.0
24/8/20,USA,Shopify,C2,Existing,1367,267523.0
24/8/20,ASIA,Shopify,C3,Existing,2056,408353.0
24/8/20,OCEANIA,Shopify,C1,New,478,67176.0
24/8/20,SOUTH AMERICA,Retail,C3,Existing,1355,64705.0
24/8/20,EUROPE,Shopify,F2,New,4,679.0
24/8/20,OCEANIA,Shopify,C3,Existing,4465,914171.0
24/8/20,AFRICA,Shopify,F1,New,190,29672.0
24/8/20,SOUTH AMERICA,Retail,C4,Existing,363,17632.0
24/8/20,AFRICA,Retail,F1,New,23414,885333.0
24/8/20,CANADA,Shopify,C4,New,14,1685.0
24/8/20,SOUTH AMERICA,Shopify,null,Guest,2035,386494.0
24/8/20,OCEANIA,Retail,F3,New,112414,3787305.0
24/8/20,EUROPE,Shopify,F3,New,2,318.0
24/8/20,ASIA,Retail,C4,Existing,110173,4928018.0
24/8/20,USA,Retail,F3,Existing,143829,8667351.0
24/8/20,SOUTH AMERICA,Retail,F3,New,325,11312.0
24/8/20,CANADA,Shopify,F2,New,104,17346.0
24/8/20,AFRICA,Shopify,F3,New,120,18969.0
